Brand,Model,License Plate,Year_and_Month,Date_of_Sale,Sale_Price
Kia,Rio,AB-12-CD,2020-06,2020-06-15,11250
Chevrolet,Malibu,CD-34-EF,2012-09,2020-05-22,10450
Mercedesbenz,GLA,EF-56-GH,2020-02,2020-07-11,13800
AUDI,Q5,GH-78-IJ,2023-11,2020-09-03,12100
VW,Golf,IJ-90-KL,2003-03,2020-11-19,9800
Toy ota,Camry,KL-12-MN,2007-07,2021-01-08,13200
Honda,Civic,MN-34-OP,2010-04,2021-02-25,10750
Kia,Sportage,OP-56-QR,2001-12,2021-04-14,11500
Kia,Sportage,QR-78-ST,2014-05,2021-06-02,10200
Toyota,RAV4,ST-90-UV,2005-08,2021-07-21,11800
B M W,5 Series,UV-12-WX,2013-01,2021-09-09,14500
Volkswagen,Golf,WX-34-YZ,2009-02,2021-10-28,12800
Honda,CR-V,YZ-56-AB,2007-07,2021-12-16,11100
Hyundai,Elantra,AB-78-CD,2004-10,2022-02-03,14200
Volkswagen,Golf,CD-90-EF,2004-05,2022-03-24,10600
Volkswagen,Golf,EF-12-GH,2007-03,2022-05-12,12400
Hyundai,Elantra,GH-34-IJ,2017-11,2022-06-30,9900
Volkswagen,Tiguan,IJ-56-KL,2006-08,2022-08-18,11900
Kia,Rio,KL-78-MN,2000-01,2022-10-06,10800
Mercedes,GLA,MN-90-OP,2021-06,2022-11-24,13100
